landslide_fid,id,time_of_occurrence,damage_description,size_category,trigger,debris_type,material_type,movement_type,metadata_id,aspect,activity,x_coordinate,y_coordinate,severity_name,debris_type_name,material_type_name,movement_type_name,aspect_name,activity_name,data_source_name,trigger_name
"314999","572",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.037381708672,-45.0923320564437,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315000","573",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.018914188943,-45.270918826643,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315001","574",2003-08-21Z, ,"101","1","101","101","101",,"0","0",166.971490057046,-45.7240812889736,unknown,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315002","575",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.036150763376,-45.116628357737,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315003","576",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.023223823082,-45.2539995746195,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315004","577",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.041459860688,-45.0898362326298,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315005","578",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.041723627168,-45.0934587348089,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315006","579",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.032975525188,-45.1782663126484,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315007","580",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.043373520033,-45.0836196006205,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315008","581",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.033980767738,-45.1747093857988,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315009","582",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.025114030564,-45.2604128136586,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315010","583",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.044178430092,-45.0881722672206,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315011","584",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.040018288534,-45.1285570961751,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315012","585",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.047543095181,-45.0802261077638,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315013","586",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.046065719491,-45.0945852478205,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315014","587",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.046013575701,-45.1198445396717,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315015","588",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.032940892814,-45.2711925082659,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315016","589",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.004979672913,-45.5399597067718,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315017","590",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.049446900536,-45.1236305473533,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315018","591",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.032957802388,-45.2833732028584,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315019","592",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.055972917191,-45.0725411962824,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315020","593",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.038962473547,-45.237670390769,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315021","594",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.040575782148,-45.2467756570055,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315022","595",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.039342025172,-45.2710715855813,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315023","596",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.038321161007,-45.2809432091949,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315024","597",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.028464385536,-45.3760686421935,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315025","598",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.053490061751,-45.1400787675674,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315026","599",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.043579979188,-45.2424195029147,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315027","600",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.045220862311,-45.238895250915,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315028","601",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.023738540591,-45.4461966142749,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315029","602",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.060440859369,-45.1034464449729,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315030","603",2003-08-21Z, ,"3","1","2","1","4",,"0","0",167.057097778311,-45.1483844695374,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315031","604",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.030081051468,-45.4221641410445,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315032","605",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.018779149416,-45.5307473419556,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315033","606",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.063045133999,-45.1153091570718,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315034","607",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.047404753334,-45.2796067448551,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
